Date,Close
11/19/2015 23:58:00,326.41
11/20/2015 23:58:00,322.39
11/21/2015 23:58:00,327
11/22/2015 23:58:00,323.71
11/23/2015 23:58:00,323
11/24/2015 23:58:00,321
11/25/2015 23:58:00,328.98
11/26/2015 23:58:00,352.57
11/27/2015 23:58:00,358.19
11/28/2015 23:58:00,357.24
11/29/2015 23:58:00,372.24
11/30/2015 23:58:00,376.86
12/1/2015 23:58:00,362.68
12/2/2015 23:58:00,360
12/3/2015 23:58:00,361.77
12/4/2015 23:58:00,363.98
12/5/2015 23:58:00,387.99
12/6/2015 23:58:00,387.55
12/7/2015 23:58:00,394.73
12/8/2015 23:58:00,418.94
12/9/2015 23:58:00,418.39
12/10/2015 23:58:00,415.68
12/11/2015 23:58:00,452.95
12/12/2015 23:58:00,436.87
12/13/2015 23:58:00,433.83
12/14/2015 23:58:00,444.01
12/15/2015 23:58:00,464.27
12/16/2015 23:58:00,453.97
12/17/2015 23:58:00,455.5
12/18/2015 23:58:00,463.17
12/19/2015 23:58:00,461.29
12/20/2015 23:58:00,442.22
12/21/2015 23:58:00,436.81
12/22/2015 23:58:00,433.92
12/23/2015 23:58:00,442.43
12/24/2015 23:58:00,455.74
12/25/2015 23:58:00,455.84
12/26/2015 23:58:00,419.41
12/27/2015 23:58:00,424.72
12/28/2015 23:58:00,421.94
12/29/2015 23:58:00,433.89
12/30/2015 23:58:00,427.95
12/31/2015 23:58:00,430.35
1/1/2016 23:58:00,435.66
1/2/2016 23:58:00,435.4
1/3/2016 23:58:00,431.91
1/4/2016 23:58:00,433.85
1/5/2016 23:58:00,433.34
1/6/2016 23:58:00,430.87
1/7/2016 23:58:00,459.07
1/8/2016 23:58:00,454.44
1/9/2016 23:58:00,450.38
1/10/2016 23:58:00,449.99
1/11/2016 23:58:00,449.19
1/12/2016 23:58:00,434.01
1/13/2016 23:58:00,432.77
1/14/2016 23:58:00,430.03
1/15/2016 23:58:00,357.53
1/16/2016 23:58:00,388.7
1/17/2016 23:58:00,378.46
1/18/2016 23:58:00,384.89
1/19/2016 23:58:00,375.27
1/20/2016 23:58:00,418.54
1/21/2016 23:58:00,409.38
1/22/2016 23:58:00,382.9
1/23/2016 23:58:00,387.5
1/24/2016 23:58:00,403.05
1/25/2016 23:58:00,391.4
1/26/2016 23:58:00,391.54
1/27/2016 23:58:00,394.79
1/28/2016 23:58:00,379.61
1/29/2016 23:58:00,378.68
1/30/2016 23:58:00,378.46
1/31/2016 23:58:00,367.95
2/1/2016 23:58:00,371.33
2/2/2016 23:58:00,372.93
2/3/2016 23:58:00,368.87
2/4/2016 23:58:00,387.99
2/5/2016 23:58:00,384.5
2/6/2016 23:58:00,375.44
2/7/2016 23:58:00,377.49
2/8/2016 23:58:00,371.14
2/9/2016 23:58:00,372.68
2/10/2016 23:58:00,378.44
2/11/2016 23:58:00,378.23
2/12/2016 23:58:00,382.05
2/13/2016 23:58:00,391
2/14/2016 23:58:00,406.59
2/15/2016 23:58:00,398.95
2/16/2016 23:58:00,407.42
2/17/2016 23:58:00,415.2
2/18/2016 23:58:00,421.19
2/19/2016 23:58:00,420.72
2/20/2016 23:58:00,437.46
2/21/2016 23:58:00,438.56
2/22/2016 23:58:00,437.55
2/23/2016 23:58:00,419.97
2/24/2016 23:58:00,423.94
2/25/2016 23:58:00,423.54
2/26/2016 23:58:00,430.85
2/27/2016 23:58:00,433.12
2/28/2016 23:58:00,433.73
2/29/2016 23:58:00,436.44
3/1/2016 23:58:00,433.08
3/2/2016 23:58:00,420.39
3/3/2016 23:58:00,418.8
3/4/2016 23:58:00,407.35
3/5/2016 23:58:00,396.08
3/6/2016 23:58:00,403.24
3/7/2016 23:58:00,412.21
3/8/2016 23:58:00,411.18
3/9/2016 23:58:00,412.8
3/10/2016 23:58:00,415.98
3/11/2016 23:58:00,419.39
3/12/2016 23:58:00,410.58
3/13/2016 23:58:00,412.52
3/14/2016 23:58:00,415.02
3/15/2016 23:58:00,415.41
3/16/2016 23:58:00,416.07
3/17/2016 23:58:00,418.41
3/18/2016 23:58:00,409.65
3/19/2016 23:58:00,410.2
3/20/2016 23:58:00,411.27
3/21/2016 23:58:00,412
3/22/2016 23:58:00,416.66
3/23/2016 23:58:00,417.53
3/24/2016 23:58:00,412.95
3/25/2016 23:58:00,416.41
3/26/2016 23:58:00,416.97
3/27/2016 23:58:00,425.3
