Date,Open,High,Low,Close,Volume
1/2/2013 16:00:00,13104.3,13412.71,13104.3,13412.55,160562592
1/3/2013 16:00:00,13413.09,13430.54,13358.43,13391.36,128628632
1/4/2013 16:00:00,13391.2,13446.96,13376.23,13435.21,107137608
1/7/2013 16:00:00,13436.05,13436.05,13343.71,13384.29,112344784
1/8/2013 16:00:00,13377.34,13377.34,13293.2,13328.85,128735128
1/9/2013 16:00:00,13329.84,13416.55,13329.84,13390.51,122417008
1/10/2013 16:00:00,13391.82,13478.1,13382.68,13471.22,132679240
1/11/2013 16:00:00,13471.38,13496.57,13440.05,13488.43,118439328
1/14/2013 16:00:00,13488.43,13520.18,13459.84,13507.32,118461520
1/15/2013 16:00:00,13507.32,13546.37,13445.8,13534.89,102276392
1/16/2013 16:00:00,13534.89,13534.89,13468.96,13511.23,118543280
1/17/2013 16:00:00,13511.23,13633.89,13510.24,13596.02,183899056
1/18/2013 16:00:00,13596.02,13649.93,13571.86,13649.7,260898528
1/22/2013 16:00:00,13649.7,13712.21,13622.96,13712.21,144299712
1/23/2013 16:00:00,13712.21,13794.29,13710.13,13779.33,147174368
1/24/2013 16:00:00,13779.33,13879.66,13779.33,13825.33,124778400
1/25/2013 16:00:00,13825.33,13895.98,13825.33,13895.98,130303968
1/28/2013 16:00:00,13895.98,13915.72,13862.57,13881.93,113574640
1/29/2013 16:00:00,13881.93,13969.99,13880.01,13954.42,108234136
1/30/2013 16:00:00,13954.42,13966.13,13896.95,13910.42,117195528
1/31/2013 16:00:00,13910.42,13941.06,13860.58,13860.58,142597968
2/1/2013 16:00:00,13860.58,14019.78,13860.58,14009.79,128420424
2/4/2013 16:00:00,14009.79,14009.79,13866.83,13880.08,130421000
2/5/2013 16:00:00,13880.08,14013.6,13880.08,13979.3,134391792
2/6/2013 16:00:00,13979.3,13991.61,13913.18,13986.52,127561088
2/7/2013 16:00:00,13986.52,13988.06,13852.2,13944.05,118525056
2/8/2013 16:00:00,13944.05,14022.62,13944.05,13992.97,99859736
2/11/2013 16:00:00,13992.97,13992.97,13940.41,13971.24,75085672
2/12/2013 16:00:00,13971.24,14038.97,13968.94,14018.7,117181008
2/13/2013 16:00:00,14018.7,14029.35,13945.78,13982.91,130519168
2/14/2013 16:00:00,13982.91,13990.36,13921.94,13973.39,114799768
2/15/2013 16:00:00,13973.39,14001.93,13906.73,13981.76,195667216
2/19/2013 16:00:00,13981.76,14044.82,13977.9,14035.67,136412864
2/20/2013 16:00:00,14035.67,14058.27,13919.28,13927.54,138543616
2/21/2013 16:00:00,13927.54,13927.54,13834.4,13880.62,131408648
2/22/2013 16:00:00,13880.62,14001.19,13880.62,14000.57,139846016
2/25/2013 16:00:00,14000.57,14081.58,13784.01,13784.17,152188960
2/26/2013 16:00:00,13784.17,13918.44,13784.17,13900.13,132576456
2/27/2013 16:00:00,13900.13,14104.86,13880.19,14075.37,107009528
2/28/2013 16:00:00,14075.37,14149.15,14050.18,14054.49,177154464
3/1/2013 16:00:00,14054.49,14107.09,13937.6,14089.66,125915928
3/4/2013 16:00:00,14089.66,14128.21,14030.37,14127.82,110808536
3/5/2013 16:00:00,14127.82,14286.37,14127.82,14253.77,112099592
3/6/2013 16:00:00,14253.77,14320.65,14253,14296.24,116512768
3/7/2013 16:00:00,14296.24,14354.69,14296.24,14329.49,117081952
3/8/2013 16:00:00,14329.49,14413.17,14329.49,14397.07,115632768
3/11/2013 16:00:00,14397.07,14448.06,14373.32,14447.29,94882888
3/12/2013 16:00:00,14447.29,14478.8,14412.06,14450.06,102097984
3/13/2013 16:00:00,14450.06,14472.8,14411.66,14455.28,83923344
3/14/2013 16:00:00,14455.28,14539.29,14455.28,14539.14,117392928
